,,"DISCLAIMER:  PLEASE REMEMBER EP VALUES AND STAT WEIGHTS FLUCTUATE DEPENDING ON THE GEAR YOU HAVE.  I TRIED MY BEST TO USE THE EP VALUE OF BEST IN SLOT GEAR.    WHILE THE WEIGHTS DO NOT USUALLY FLUCTUATE TOO MUCH, PLEASE USE MORE AS A GENERAL GUIDE AND NOT GOSPEL. Contact Fazers#1963 on Discord for changes."
Phase,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Col66<=3
,,Stam,Int,Agi,Str,Spirit,AP,ArP,SP,Heal,Crit,SpCrit,Haste,SpHaste,Hit,SpHit,Exp,Mp5,Resil,Dodge,Parry,Defense,Shield Block,Block Rating,Meta,Red,Yellow,Blue,Armor,DPS,ODPS,Spd,OSpd,Credit
,Swords,0.0,0.0,2.2,1.1,0.0,1.0,0.3,0.0,0.0,1.8,0.0,2.3,0.0,2.4,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,24.4,24.4,24.4,0.0,8.0,2.8,30.0,-150.0,Elitist Jerks Rogue Guide + https://legacy-wow.com/tbc-rogue-guide/ Author: Vulajin + https://docs.google.com/spreadsheets/d/11E1k1Di_enrJHOvH992EKBqCoAU7IQPpba6tQJkkQ9M/edit#gid=2013064319
,F/S,,,2.2,1.1,,1.0,0.3,,,1.7,,2.3,,2.3,,2.5,,,,,,,,88.9,9.0,9.0,9.0,,,,,,Elitist Jerks Rogue Guide + https://legacy-wow.com/tbc-rogue-guide/ Author: Vulajin + https://docs.google.com/spreadsheets/d/11E1k1Di_enrJHOvH992EKBqCoAU7IQPpba6tQJkkQ9M/edit#gid=2013064320
,Fist,,,2.2,1.1,,1.0,0.3,,,1.7,,2.3,,2.2,,2.4,,,,,,,,90.6,9.0,9.0,9.0,,,,,,Elitist Jerks Rogue Guide + https://legacy-wow.com/tbc-rogue-guide/ Author: Vulajin + https://docs.google.com/spreadsheets/d/11E1k1Di_enrJHOvH992EKBqCoAU7IQPpba6tQJkkQ9M/edit#gid=2013064321
,Dagger,0.0,0.0,2.1,1.1,0.0,1.0,0.4,0.0,0.0,1.6,0.0,2.4,0.0,2.3,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.5,9.0,9.0,9.0,,8.0,,,,Elitist Jerks Rogue Guide + https://legacy-wow.com/tbc-rogue-guide/ Author: Vulajin + https://docs.google.com/spreadsheets/d/11E1k1Di_enrJHOvH992EKBqCoAU7IQPpba6tQJkkQ9M/edit#gid=2013064322
,Sub,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0
,Hunter
,Beast Master,0.0,0.0,2.1,0.0,0.0,1.0,0.3,0.0,0.0,1.6,0.0,1.6,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3,15.1,14.1,15.1,0.0,7.5,,,,WatchYourSixx#0872 (Hunter Discord)
,Marks,,,0.7,,,0.3,0.1,-1.0,,0.6,,0.9,,1.0,,,,,,,,,,16.0,9.0,9.0,9.0,,2.6,,,,http://tbcwowaddons.weebly.com/pawn.html
,Survival,0.0,0.0,5.2,0.0,0.0,1.0,0.4,0.0,0.0,1.7,0.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3,33.9,16.9,11.8,0.0,7.5,,,,WatchYourSixx#0872 (Hunter Discord)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shout out to Spoiler for design help
