item_id,tier,source,source_note,name,icon,slot,armor_type,hand_type,weapon_type,ranged_weapon_type,set_name,class_allowlist,has_effect,sockets,socket_bonus,weapon_min,weapon_max,weapon_speed,url,strength,agility,stamina,intellect,healing_power,spell_damage,arcane_damage,fire_damage,frost_damage,holy_damage,nature_damage,shadow_damage,spell_hit,spell_crit,spell_haste,spell_pen,spirit,attack_power,ranged_attack_power,feral_attack_power,melee_hit,melee_crit,melee_haste,armor_pen,expertise,defense,block_rating,block_value,dodge,parry,resilience,armor,bonus_armor
24116,,crafted,"Crafted, Jewelcrafting",Eye of the Night,inv_jewelry_necklace_28,Neck,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=24116,,,,,,,,,,,,,16,26,,15,,,,,,,,,,,,,,,,,
24121,,crafted,"Crafted, Jewelcrafting",Chain of the Twilight Owl,inv_jewelry_necklace_ahnqiraj_02,Neck,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=24121,,,,19,21,21,,,,,,,,,,,,,,,,,,,,18,,,,,,,
24250,,crafted,"Crafted, Tailoring",Bracers of Havok,inv_bracer_10,Wrist,Cloth,,,,,,,Yellow,spell_crit=2,,,,https://www.wowhead.com/tbc/item=24250,,,,12,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,67,
24252,,crafted,"Crafted, Tailoring",Cloak of the Black Void,inv_misc_cape_20,Back,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=24252,,,,11,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,76,
24254,,crafted,"Crafted, Tailoring",White Remedy Cape,inv_misc_cape_11,Back,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=24254,,,,,59,20,,,,,,,,,,,,,,,,,,,,,,,,,,76,
24255,,crafted,"Crafted, Tailoring",Unyielding Girdle,inv_belt_03,Waist,Cloth,,,,The Unyielding,,,Blue|Yellow,,,,,https://www.wowhead.com/tbc/item=24255,,,28,,32,32,,,,,,,,,,,,,,,,,,,,,,,,,20,100,
24256,,crafted,"Crafted, Tailoring",Girdle of Ruination,inv_belt_13,Waist,Cloth,,,,,,,Red|Yellow,stamina=4,,,,https://www.wowhead.com/tbc/item=24256,,,18,13,39,39,,,,,,,,20,,,,,,,,,,,,,,,,,,100,
24257,,crafted,"Crafted, Tailoring",Black Belt of Knowledge,inv_belt_26,Waist,Cloth,,,,,,,Yellow|Blue,healing_power=4|spell_damage=4,,,,https://www.wowhead.com/tbc/item=24257,,,,18,,,,,,,,,,,,,21,,,,,,,,,,,,,,,100,
24258,,crafted,"Crafted, Tailoring",Resolute Cape,inv_misc_cape_16,Back,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=24258,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,89,260
24259,,crafted,"Crafted, Tailoring",Vengeance Wrap,inv_misc_cape_18,Back,Cloth,,,,,,,Red,melee_hit=2,,,,https://www.wowhead.com/tbc/item=24259,,,,,,,,,,,,,,,,,,52,52,,,23,,,,,,,,,,89,
24261,,crafted,"Crafted, Tailoring",Whitemend Pants,inv_pants_cloth_07,Legs,Cloth,,,,Whitemend Wisdom,,,Blue|Yellow|Red,,,,,https://www.wowhead.com/tbc/item=24261,,,21,21,62,21,,,,,,,,,,,,,,,,,,,,,,,,,,156,
24262,,crafted,"Crafted, Tailoring",Spellstrike Pants,inv_pants_cloth_14,Legs,Cloth,,,,Spellstrike Infusion,,,Blue|Yellow|Red,stamina=6,,,,https://www.wowhead.com/tbc/item=24262,,,12,8,46,46,,,,,,,22,26,,,,,,,,,,,,,,,,,,156,
24264,,crafted,"Crafted, Tailoring",Whitemend Hood,inv_helmet_53,Head,Cloth,,,,Whitemend Wisdom,,,Blue|Yellow|Red,,,,,https://www.wowhead.com/tbc/item=24264,,,15,15,79,27,,,,,,,,,,,,,,,,,,,,,,,,,,145,
24266,,crafted,"Crafted, Tailoring",Spellstrike Hood,inv_helmet_27,Head,Cloth,,,,Spellstrike Infusion,,,Blue|Yellow|Red,stamina=6,,,,https://www.wowhead.com/tbc/item=24266,,,16,12,46,46,,,,,,,16,24,,,,,,,,,,,,,,,,,,145,
24390,,drop,,Auslese's Light Channeler,inv_qiraj_jewelencased,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=24390,,,,,59,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
24393,,drop,,Bloody Surgeon's Mitts,inv_misc_surgeonglove_01,Hands,Cloth,,,,,,,Red|Blue,spirit=3,,,,https://www.wowhead.com/tbc/item=24393,,,10,20,31,11,,,,,,,,,,,12,,,,,,,,,,,,,,,76,
24396,,drop,,Vest of Vengeance,inv_chest_leather_03,Chest,Leather,,,,,,,Red|Yellow|Blue,dodge=4,,,,https://www.wowhead.com/tbc/item=24396,,27,18,,,,,,,,,,,,,,,42,42,,11,,,,,,,,,,,232,
24397,,drop,,Raiments of Divine Authority,inv_chest_cloth_31,Chest,Cloth,,,,,,,Red|Yellow|Blue,stamina=6,,,,https://www.wowhead.com/tbc/item=24397,,,16,21,46,16,,,,,,,,,,,18,,,,,,,,,,,,,,,122,
24450,,drop,,Manaspark Gloves,inv_gauntlets_14,Hands,Cloth,,,,,,,Red|Yellow,spell_crit=3,,,,https://www.wowhead.com/tbc/item=24450,,,14,14,16,16,,,,,,,15,,,,10,,,,,,,,,,,,,,,81,
24550,,arena,,Gladiator's Greatsword,inv_sword_70,Weapon,,Two Hand,Sword,,,,,,,341,513,3.6,https://www.wowhead.com/tbc/item=24550,32,,48,,,,,,,,,,,,,,,,,,20,35,,,,,,,,,28,,
24557,,arena,,Gladiator's War Staff,inv_staff_53,Weapon,,Two Hand,Staff,,,,,,,90,185,2,https://www.wowhead.com/tbc/item=24557,,,48,35,199,199,,,,,,,21,36,,,,,,,,,,,,,,,,,25,,
24689,,drop,,Elementalist Skullcap,inv_helmet_59,Head,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=24689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,
24692,,drop,,Elementalist Bracelets,inv_bracer_10,Wrist,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=24692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,
25041,,drop,,Ambusher's Cloak,inv_misc_cape_17,Back,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=25041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,
25099,,drop,,Draenei Crystal Rod,inv_misc_orb_01,Weapon,,Off Hand,Off Hand,,,,,,,,,,https://www.wowhead.com/tbc/item=25099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25295,,drop,,Flawless Wand,inv_wand_16,Ranged,,,,5,,,,,,137,255,1.7,https://www.wowhead.com/tbc/item=25295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25562,,drop,,Earthen Mark of Razing,inv_jewelry_necklace_06,Neck,,,,,,,,,,,,,https://www.wowhead.com/tbc/item=25562,,23,,,,,,,,,,,,,,,,20,20,,13,,,,,,,,,,,,
25620,,drop,,Ancient Crystal Talisman,inv_jewelry_necklace_28,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=25620,,,,,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
25634,,drop,,Oshu'gun Relic,inv_jewelry_talisman_06,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=25634,,,,,53,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
25640,,drop,,Nesingwary Safari Stick,inv_wand_05,Ranged,,,,5,,,,,,142,265,1.8,https://www.wowhead.com/tbc/item=25640,,,,,14,14,,,,,,,,12,,,,,,,,,,,,,,,,,,,
25685,,crafted,"Crafted, Leatherworking",Fel Leather Gloves,inv_gauntlets_22,Hands,Leather,,,,Fel Skin,,,Yellow|Red,attack_power=6|ranged_attack_power=6,,,,https://www.wowhead.com/tbc/item=25685,,,,,,,,,,,,,,,,,,36,36,,17,24,,,,,,,,,,169,
25686,,crafted,"Crafted, Leatherworking",Fel Leather Boots,inv_boots_cloth_05,Feet,Leather,,,,Fel Skin,,,Yellow|Red,attack_power=6|ranged_attack_power=6,,,,https://www.wowhead.com/tbc/item=25686,,,,,,,,,,,,,,,,,,36,36,,25,17,,,,,,,,,,196,
25687,,crafted,"Crafted, Leatherworking",Fel Leather Leggings,inv_pants_leather_03,Legs,Leather,,,,Fel Skin,,,Red|Yellow|Yellow,attack_power=8|ranged_attack_power=8,,,,https://www.wowhead.com/tbc/item=25687,,,,,,,,,,,,,,,,,,52,52,,25,25,,,,,,,,,,249,
25761,,drop,,Staff of Beasts,inv_staff_34,Weapon,,Two Hand,Staff,,,,,,,145,253,3.3,https://www.wowhead.com/tbc/item=25761,31,30,45,,,,,,,,,,,,,,,,,375,,,,,,,,,,,,,
25777,,drop,,Ogre Slayer's Cover,inv_misc_cape_16,Back,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=25777,,,,18,20,20,,,,,,,,16,,,11,,,,,,,,,,,,,,,68,
25789,,drop,,Rune-Engraved Belt,inv_belt_35,Waist,Mail,,,,,,,,,,,,https://www.wowhead.com/tbc/item=25789,,25,,,,,,,,,,,,,,,,50,50,,24,,,,,,,,,,,364,
25792,,drop,,Curate's Boots,inv_boots_05,Feet,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=25792,,,,25,53,18,,,,,,,,,,,25,,,,,,,,,,,,,,,106,
25806,,drop,,Nethekurse's Rod of Torment,inv_wand_05,Ranged,,,,5,,,,,,152,284,1.8,https://www.wowhead.com/tbc/item=25806,,,,10,11,11,,,,,,,,10,,,,,,,,,,,,,,,,,,,
25808,,drop,,Rod of Dire Shadows,inv_wand_05,Ranged,,,,5,,,,,,152,284,1.8,https://www.wowhead.com/tbc/item=25808,,,,10,11,11,,,,,,,,10,,,,,,,,,,,,,,,,,,,
25838,,reputation,"Cenarion Expedition, Honored",Warden's Hauberk,inv_chest_leather_08,Chest,Leather,,,,,,,Red|Red|Red,melee_hit=4,,,,https://www.wowhead.com/tbc/item=25838,,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,
25937,,drop,,Terokkar Tablet of Precision,inv_misc_stonetablet_11,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=25937,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,
25939,,drop,,Voidfire Wand,inv_wand_06,Ranged,,,,5,,,,,,138,257,1.9,https://www.wowhead.com/tbc/item=25939,,,9,9,11,11,,,,,,,7,,,,,,,,,,,,,,,,,,,,
25969,,drop,,Rapscallion's Touch,inv_gauntlets_24,Hands,Leather,,,,,,,Red|Yellow,stamina=6,,,,https://www.wowhead.com/tbc/item=25969,,15,,,,,,,,,,,,,,,,,,,15,21,,,,,,,,,,149,
25970,,drop,,Shalassi Oracle's Sandals,inv_boots_05,Feet,Cloth,,,,,,,Red|Yellow,stamina=4,,,,https://www.wowhead.com/tbc/item=25970,,,,21,18,18,,,,,,,,15,,,,,,,,,,,,,,,,,,86,
27411,,drop,,Slippers of Serenity,inv_boots_cloth_14,Feet,Cloth,,,,,,,Red|Blue,resilience=3,,,,https://www.wowhead.com/tbc/item=27411,,,10,22,35,12,,,,,,,,,,,15,,,,,,,,,,,,,,,94,
27423,,drop,,Cloak of Impulsiveness,inv_misc_cape_18,Back,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27423,,18,19,,,,,,,,,,,,,,,40,40,,,,,,,,,,,,,70,
27433,,drop,,Pauldrons of Sufferance,inv_shoulder_26,Shoulder,Cloth,,,,,,,Blue|Yellow,resilience=3,,,,https://www.wowhead.com/tbc/item=27433,,,18,13,35,12,,,,,,,,,,,19,,,,,,,,,,,,,,,105,
27434,,drop,,Mantle of Perenolde,inv_shoulder_35,Shoulder,Leather,,,,,,,Red|Red,dodge=3,,,,https://www.wowhead.com/tbc/item=27434,,,24,,,,,,,,,,,,,,,20,20,,23,23,,,,,,,,,,197,
27452,,drop,,Light Scribe Bands,inv_bracer_13,Wrist,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27452,,,12,15,29,10,,,,,,,,,,,22,,,,,,,,,,,,,,,68,
27462,,drop,,Crimson Bracers of Gloom,inv_bracer_13,Wrist,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27462,,,18,18,22,22,,,,,,,12,,,,,,,,,,,,,,,,,,,68,
27465,,drop,,Mana-Etched Gloves,inv_gauntlets_15,Hands,Cloth,,,,Mana-Etched Regalia,,,Red|Yellow,resilience=3,,,,https://www.wowhead.com/tbc/item=27465,,,25,17,20,20,,,,,,,,16,,,,,,,,,,,,,,,,,,97,
27477,,drop,,Faol's Signet of Cleansing,inv_staff_24,Weapon,,Off Hand,Off Hand,,,,,,,,,,https://www.wowhead.com/tbc/item=27477,,,,,59,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
27484,,worn,,Libram of Avengement,inv_misc_stonetablet_05,Ranged,,,,7,,,yes,,,,,,https://www.wowhead.com/tbc/item=27484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27493,,drop,,Gloves of the Deadwatcher,inv_gauntlets_19,Hands,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27493,,,24,24,29,29,,,,,,,18,,,,,,,,,,,,,,,,,,,97,
27506,,drop,,Robe of Effervescent Light,inv_chest_cloth_38,Chest,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27506,,,25,33,73,25,,,,,,,,,,,18,,,,,,,,,,,,,,,156,
27508,,drop,,Incanter's Gloves,inv_gauntlets_17,Hands,Cloth,,,,Incanter's Regalia,,,,,,,,https://www.wowhead.com/tbc/item=27508,,,21,24,29,29,,,,,,,,14,,,12,,,,,,,,,,,,,,,97,
27509,,drop,,Handgrips of Assassination,inv_gauntlets_01,Hands,Leather,,,,Assassination Armor,,,,,,,,https://www.wowhead.com/tbc/item=27509,,25,24,,,,,,,,,,,,,,,50,50,,17,,,,,,,,,,,183,
27519,,drop,,Cloak of Malice,inv_misc_cape_06,Back,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27519,,21,18,,,,,,,,,,,,,,,38,38,,,,,,,,,,,,,76,
27531,,drop,,Wastewalker Gloves,inv_gauntlets_25,Hands,Leather,,,,Wastewalker Armor,,,Red|Yellow,dodge=3,,,,https://www.wowhead.com/tbc/item=27531,,32,33,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,,183,
27536,,drop,,Hallowed Handwraps,inv_gauntlets_27,Hands,Cloth,,,,Hallowed Raiment,,,,,,,,https://www.wowhead.com/tbc/item=27536,,,19,20,51,17,,,,,,,,,,,26,,,,,,,,,,,,,,,97,
27537,,drop,,Gloves of Oblivion,inv_gauntlets_16,Hands,Cloth,,,,Oblivion Raiment,,,,,,,,https://www.wowhead.com/tbc/item=27537,,,33,21,26,26,,,,,,,20,,,,,,,,,,,,,,,,,,,97,
27538,,drop,,Lightsworn Hammer,inv_hammer_23,Weapon,,Main Hand,Mace,,,,,,,35,113,1.8,https://www.wowhead.com/tbc/item=27538,,,12,11,227,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
27540,,drop,,Nexus Torch,inv_wand_18,Ranged,,,,5,,,,,,163,303,1.8,https://www.wowhead.com/tbc/item=27540,,,9,10,8,8,,,,,,,,11,,,,,,,,,,,,,,,,,,,
27542,,drop,,Cord of Belief,inv_belt_30,Waist,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27542,,,,23,46,16,,,,,,,,,,,20,,,,,,,,,,,,,,,88,
27543,,drop,,Starlight Dagger,inv_weapon_shortblade_37,Weapon,,Main Hand,Dagger,,,,,,,29,95,1.5,https://www.wowhead.com/tbc/item=27543,,,15,15,121,121,,,,,,,16,,,,,,,,,,,,,,,,,,,,
27672,,drop,,Girdle of the Immovable,inv_belt_26,Waist,Plate,,,,,,,Red|Yellow,dodge=3,,,,https://www.wowhead.com/tbc/item=27672,17,,33,,,,,,,,,,,,,,,,,,,,,,,18,12,,,,,655,
27683,,drop,,Quagmirran's Eye,inv_misc_gem_pearl_01,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=27683,,,,,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
27714,,drop,,Swamplight Lantern,inv_offhand_outlandraid_03orange,Weapon,,Off Hand,Off Hand,,,,,,,,,,https://www.wowhead.com/tbc/item=27714,,,,22,40,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
27741,,drop,,Bleeding Hollow Warhammer,inv_mace_1h_stratholme_d_01,Weapon,,Main Hand,Mace,,,,,,,47,151,2.4,https://www.wowhead.com/tbc/item=27741,,,12,17,121,121,,,,,,,,16,,,,,,,,,,,,,,,,,,,
27747,,drop,,Boggspine Knuckles,inv_weapon_hand_11,Weapon,,Off Hand,Fist,,,,,,,130,243,2.6,https://www.wowhead.com/tbc/item=27747,,15,10,,,,,,,,,,,,,,,10,10,,11,,,,,,,,,,,,
27757,,drop,,Greatstaff of the Leviathan,inv_staff_56,Weapon,,Two Hand,Staff,,,,,,,106,196,2.4,https://www.wowhead.com/tbc/item=27757,39,,36,,,,,,,,,,,,,,,,,539,,,,,,,,,,,,360,
27758,,drop,,Hydra-fang Necklace,inv_jewelry_necklace_34,Neck,,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27758,,,17,16,19,19,,,,,,,16,,,,,,,,,,,,,,,,,,,,
27760,,drop,,Dunewind Sash,inv_belt_24,Waist,Leather,,,,,,,Red|Blue,agility=3,,,,https://www.wowhead.com/tbc/item=27760,,21,16,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,164,
27766,,drop,,Swampstone Necklace,inv_jewelry_necklace_29,Neck,,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27766,,,14,15,40,14,,,,,,,,,,,18,,,,,,,,,,,,,,,,
27772,,drop,,Stormshield of Renewal,inv_shield_34,Weapon,,Off Hand,Shield,,,,,,,,,,https://www.wowhead.com/tbc/item=27772,,,12,16,57,19,,,,,,,,,,,,,,,,,,,,,,86,,,,3806,
27775,,drop,,Hallowed Pauldrons,inv_shoulder_22,Shoulder,Cloth,,,,Hallowed Raiment,,,Red|Blue,intellect=3,,,,https://www.wowhead.com/tbc/item=27775,,,10,17,42,14,,,,,,,,,,,20,,,,,,,,,,,,,,,117,
27778,,drop,,Spaulders of Oblivion,inv_shoulder_18,Shoulder,Cloth,,,,Oblivion Raiment,,,Yellow|Blue,spell_hit=3,,,,https://www.wowhead.com/tbc/item=27778,,,25,17,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,117,
27779,,drop,,Bone Chain Necklace,inv_jewelry_necklace_04,Neck,,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27779,,19,18,,,,,,,,,,,,,,,36,36,,13,,,,,,,,,,,,
27791,,drop,,Serpentcrest Life-Staff,inv_staff_48,Weapon,,Two Hand,Staff,,,,,,,100,188,2.4,https://www.wowhead.com/tbc/item=27791,,,27,27,227,76,,,,,,,,,,,46,,,,,,,,,,,,,,,,
27793,,drop,,Earth Mantle Handwraps,inv_gauntlets_03,Hands,Mail,,,,,,,Red|Yellow,intellect=3,,,,https://www.wowhead.com/tbc/item=27793,,,21,18,19,19,,,,,,,,16,,,,,,,,,,,,,,,,,,397,
27796,,drop,,Mana-Etched Spaulders,inv_shoulder_22,Shoulder,Cloth,,,,Mana-Etched Regalia,,,Yellow|Red,resilience=3,,,,https://www.wowhead.com/tbc/item=27796,,,25,17,20,20,,,,,,,,16,,,,,,,,,,,,,,,,,,117,
27797,,drop,,Wastewalker Shoulderpads,inv_shoulder_15,Shoulder,Leather,,,,Wastewalker Armor,,,Red|Blue,melee_crit=3,,,,https://www.wowhead.com/tbc/item=27797,,25,13,,,,,,,,,,,,,,,34,34,,16,,,,,,,,,,,219,
27804,,drop,,Devilshark Cape,inv_misc_cape_13,Back,Cloth,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27804,,,22,,,,,,,,,,,,,,,,,,,,,,,20,,29,18,,,78,
27815,,worn,,Totem of the Astral Winds,spell_unused,Ranged,,,,8,,,yes,,,,,,https://www.wowhead.com/tbc/item=27815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27817,,drop,,Starbolt Longbow,inv_weapon_bow_06,Ranged,,,,1,,,,,,130,242,2.8,https://www.wowhead.com/tbc/item=27817,,,19,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
27828,,drop,,Warp-Scarab Brooch,inv_scarab_crystal,Trinket,,,,,,,yes,,,,,,https://www.wowhead.com/tbc/item=27828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27837,,drop,,Wastewalker Leggings,inv_pants_mail_04,Legs,Leather,,,,Wastewalker Armor,,,Red|Red|Blue,resilience=4,,,,https://www.wowhead.com/tbc/item=27837,,31,27,,,,,,,,,,,,,,,28,28,,19,,,,,,,,,,,256,
27842,,drop,,Grand Scepter of the Nexus-Kings,inv_staff_45,Weapon,,Two Hand,Staff,,,,,,,106,196,2.4,https://www.wowhead.com/tbc/item=27842,,,45,43,121,121,,,,,,,19,,,,,,,,,,,,,,,,,,,,
27843,,drop,,Glyph-Lined Sash,inv_belt_10,Waist,Cloth,,,,,,,Yellow|Yellow,healing_power=4|spell_damage=4,,,,https://www.wowhead.com/tbc/item=27843,,,21,23,30,30,,,,,,,,9,,,,,,,,,,,,,,,,,,88,
27867,,drop,,Boots of the Unjust,inv_boots_chain_06,Feet,Leather,,,,,,,,,,,,https://www.wowhead.com/tbc/item=27867,,,25,,,,,,,,,,,,,,,64,64,,13,19,,,,,,,,,,201,
27868,,drop,,Runesong Dagger,inv_weapon_shortblade_52,Weapon,,Main Hand,Dagger,,,,,,,27,90,1.5,https://www.wowhead.com/tbc/item=27868,,,12,11,121,121,,,,,,,,20,,,,,,,,,,,,,,,,,,,
